"Source:","W:\Emulators\Spectrum Repair\Gotek Bits\Gotek AT32F435 26 Pin Std Size PCB\Gotek.kicad_sch"
"Date:","2025-04-11T10:23:15+0100"
"Tool:","Eeschema 8.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","72"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Datasheet","Description","Footprint","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Sim.Device","Sim.Pins"
"1","2","C1, C19","100uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","","","","~","Polarized capacitor","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","","","","","",""
"2","2","C3, C5","22pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","~","Unpolarized capacitor","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","","","",""
"3","8","C4, C6, C8, C9, C16, C18, C20, C23","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","~","Unpolarized capacitor","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","","","",""
"4","1","C17","100uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","DNP","","","~","Polarized capacitor","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","","","","","",""
"5","1","DID1","1N4148WS","Diode:1N4148WS","Gotek:SODFL2512X90N","https://www.vishay.com/docs/85751/1n4148ws.pdf","","","","https://www.vishay.com/docs/85751/1n4148ws.pdf","75V 0.15A Fast switching Diode, SOD-323","Gotek:SODFL2512X90N","","","","","","D","1=K 2=A"
"6","1","J3","Conn_01x03_Pin","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","DNP","","","~","Generic connector, single row, 01x03, script generated","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","","","","",""
"7","1","J4","Conn_01x02_Pin","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","DNP","","","~","Generic connector, single row, 01x02, script generated","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","","",""
"8","4","J5, JA1, JB1, JC1","Conn_01x02","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","~","Generic connector, single row, 01x02, script generated","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","","",""
"9","1","J7","OLED","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","~","","","","~","Generic connector, single row, 01x04, script generated","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","","","","","","",""
"10","1","J8","RotaryEncoder","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","~","","","","~","Generic connector, single row, 01x04, script generated","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","","","","","","",""
"11","1","J10","Conn_01x04_Pin","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","DNP","","","~","Generic connector, single row, 01x04, script generated","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","","","","","",""
"12","2","JD1, JE1","Conn_01x02_Pin","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~","","","","~","Generic connector, single row, 01x02, script generated","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","","","","","","",""
"13","1","JK1","Conn_01x02","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Horizontal","~","","","","~","Generic connector, single row, 01x02, script generated","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Horizontal","","","","","","",""
"14","1","JKA1","Conn_01x02","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Horizontal","~","DNP","","","~","Generic connector, single row, 01x02, script generated","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Horizontal","","","","","","",""
